Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::allocator<double>&)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::allocator<int>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00       3/15          void PrintVec<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >, int) [107]
                0.00    0.00      12/15          std::vector<double, std::allocator<double> > MultMtx<double>(double**, std::vector<int, std::allocator<int> >, std::vector<double, std::allocator<double> >, int) [105]
[8]      0.0    0.00    0.00      15         std::vector<double, std::allocator<double> >::operator[](unsigned long) [8]
-----------------------------------------------
                0.00    0.00       3/15          std::vector<int, std::allocator<int> > SetVec<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >, int) [104]
                0.00    0.00       3/15          void PrintVec<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >, int) [108]
                0.00    0.00       9/15          std::vector<double, std::allocator<double> > MultMtx<double>(double**, std::vector<int, std::allocator<int> >, std::vector<double, std::allocator<double> >, int) [105]
[9]      0.0    0.00    0.00      15         std::vector<int, std::allocator<int> >::operator[](unsigned long) [9]
-----------------------------------------------
                0.00    0.00       1/13          start() [102]
                0.00    0.00       3/13          Det(int**, int) [13]
                0.00    0.00       9/13          Get_InverseMtx(int) [99]
[10]     0.0    0.00    0.00      13         void FreeMem<int>(int**, int) [10]
-----------------------------------------------
                0.00    0.00       3/12          Det(int**, int) [13]
                0.00    0.00       9/12          Get_InverseMtx(int) [99]
[11]     0.0    0.00    0.00      12         Get_matr(int**, int, int**, int, int) [11]
-----------------------------------------------
                0.00    0.00       1/11          std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [132]
                0.00    0.00       1/11          std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&) [128]
                0.00    0.00       4/11          std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [75]
                0.00    0.00       5/11          std::vector<int, std::allocator<int> >::~vector() [76]
[12]     0.0    0.00    0.00      11         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [12]
-----------------------------------------------
                                   3             Det(int**, int) [13]
                0.00    0.00       1/10          start() [102]
                0.00    0.00       9/10          Get_InverseMtx(int) [99]
[13]     0.0    0.00    0.00      10+3       Det(int**, int) [13]
                0.00    0.00       3/12          Get_matr(int**, int, int**, int, int) [11]
                0.00    0.00       3/13          void FreeMem<int>(int**, int) [10]
                                   3             Det(int**, int) [13]
-----------------------------------------------
                0.00    0.00       5/10          std::vector<int, std::allocator<int> >::begin() const [38]
                0.00    0.00       5/10          std::vector<int, std::allocator<int> >::end() const [37]
